Review Number,Review Text,Label
387,bought for my very fusee neighbor he really likes these.,Product Quality
864,My mistake.  These don't fit over my glasses.  Plus they are not very dark.,Aesthetic Appeal
475,Use this washing machine when I'm out in my RV.  Works great and saves me money and time visiting laundry mats. Love this product!,Usability
300,I have taken probiotics for years changing from one to another.  I bought these because they were cheaper that what I'd been taking and they<br />seem to do as well as any others I have taken.  Probiotics have helped me so much  I have chronic inflammation and infections of the colon<br />and small intestine and try not to miss a day taking them.,Product Quality
738,This set is a wonderful tool addition to my tool kit. I use this set every day sense I got. Just always good for on the go repairs. I used to use my leatherman multi tool for everything but now I find myself using this set more. Highly recommend this jewelers screw driver set.,Usability
714,I bought a stowaway bike and this seat was recommended by other buyers. I got it and it provides good cushioning.,Product Quality
273,This  product I have used for the past 2 years when a neighbor suggested it for a 27 year old problem I had with RLS.  I hadn't slept but 1 - 2 hours a night at least 5 nights a week and then would sleep heavily  and restlessly for 2 nights.  It sure wore me  down.  When I began using this at only a teaspoon per day in water (it is pleasant) it only  took about a week or so and I have been sleeping ever since - every night.  So very thankful for that neighbor's suggestion.  I am passing on the word to others  who cannot sleep.,Usability
932,This knife is spectacular. I got it for my boyfriend and he is over the moon happy with it. (no seriously  he is. Sometimes I catch him just hold it and looking at it adoringly.) It is crazy sharp and the case is very high quality. In fact  everything about this knife is high quality. If you are looking for a good knife  look no further. I don't think you will find a better one than this Case knife.,Product Quality
3,Did not work at all.,Usability
209,These bags are magic.  I use them to line my cat boxes.  They're very tough and hold up well.,Usability
561,Great fun for the family  and so easy!  Makes just 1 if you want or dash off 30 or in minutes.  Jolly rancher  life savers  floss sugar  it all works great!,Usability
447,Nice unit  however  only works with what I would say is standard slim wine bottles. Any bottle that is odd size will not fit on the racks.  So  to use the fridge for varying size wine bottles you would have to remove some shelves to allow them to fit which reduces the capacity.  I'm sending mine back  which has not been a problem so far working with Amazon.,Customer Service
216,Great price  on time delivery.,Price
186,Product is just okay! Volume level is not very good  I am used to going louder. Charge only lasts for maybe 2.5 hours of continuous use. This is my first pair of bluetooth earbuds. I feel gullible because I was going to purchase a pair for around 20$ and I thought the price point was too low so instead I purchased these. I think maybe for a tryout pair I could have gone with the 20$ pair.,Product Quality
177,Product was defective but the customer service was fantastic..,Product Quality
441,Awesome,Aesthetic Appeal
876,It is what I needed and it works great on my shop vac. Sliding band holds it securely in place.,Usability
676,Purchased this bike for my two year old son  who at the time of receiving the bike was approximately 32 inches tall.  The bike fit him perfectly with the seat post most of the way down  giving lots of room for growth.  We gave him this bike in March and I am not writing this review in August  so this review is with 5-6 months of experience with using the bike.<br /><br />The bike arrived in a relatively small box and assembly was done in 5-10 minutes.  Attached the handlebars and seat post  tighten with a provided allen wrench and done.  The bike is made of solid metal (steel maybe?)  is very sturdy but not too heavy for even my toddler.  He is able to pick it up and maneuver it himself.  We have left the bike outside accidentally and the paint and bike is still like new.  A very sturdy bike  a great design and the concept of a balance bike was perfect for my son.  Once he warmed up to the idea of being on the bike  he walked while standing for the first month or so  has since learned to sit and walk and now if quickly catching onto the idea that he can control how fast he goes!!  Last month I raised the seat for the first time and he still has plenty of room to grow with this bike.  We will use this bike until he is ready to transition into a bike with pedals and no training wheels.  He'll be ready thanks to Strider!,Usability
786,For the price  its amazing.  So fun we bought 2.  One for hte 6 yr old and for the 4 yr old.,Price
885,Not bad but struggles with wheel nuts if they have been over tightened. Unit is quite heavy too. Overall a nice addition to my tool kit but if i was using every day i would prefer more power for wheel nuts.,Product Quality
418,3 of the buttons stopped working after a month of using it. It was used twice a day. Do not recommend it. go use your money for something more durable. Oh and also big plates do not fit in it.,Usability
203,This is a good daily vitamin for men.,Usability
800,Very nice. Will organize my tools nicely. Pegs lock in well.,Usability
626,I really like the packaging of these microfiber towels. Each pouch (2) have a drawstring to close it. There's a small cloth for wiping sweat  and a larger towel to do yoga on. The larger mat is non- slip  and when wet it dries very quickly. I like to have wash these abs let them air dry. The pink is really pretty.  The material is kind-of thinner then I thought. But it still gets the job done. Also getting the towels back in the pouch wasnt easy . I had to refold them a few times to get it to fit. But overall I'm happy with this purchase. I received this product at a discounted price in exchange for my honest review.,Product Quality
673,Clean  kept a warm and a cold and storong!<br />I love it! I don't like a plastic bottles.<br />I recommend this instead buying plastic ones.,Product Quality
183,Great product to save money!  Product as described!  Fast delivery!,Price
137,work great at the right bprice,Usability
133,You won't be disappointed. The only draw back is that you can't change out batteries,Product Quality
33,Great quality for the price.  I believe they will last the entire school year.  They do not look cheezy at all.,Product Quality
227,OH  a beautiful scent  These oils are very good and scent is strong. Love it.,Product Quality
333,Love these pills for stress,Product Quality
713,Good product  easy to use. Great size to store in bug out bag. For the money  its a great insurance policy.,Price
173,good product good seller,Product Quality
538,We bought this microwave 2 years ago as part of a home remodel. It was great while it worked but recently stopped working. Sharp warranty is only 1 year. For the amount of money we spent on this I would expect it to last more than 2 years.,Product Quality
267,my dentures fit perfectly  and I like the strainer cup so my fingers do not have to touch the cleaning solution. I just wish it did not leak. I travel a lot and am getting used to my new dentures so there are times I take my cup in the car with me filled with water ( my dentist told me to soak them in water when they are not in my mouth). So if anyone has a suggestion for a cup that does not leak it will be appreciated,Usability
948,I'll give it 4 stars because it works just fine and I haven't found anything better.,Usability
455,I bought this to repair our KitchenAid blender  model KSB5WH4. I could have purchased the part from several suppliers ranging in price from $4.86 to $9 and most charged a little more for shipping. This part from Amazon does seem to be the same factory certified part as described and the package says &#34;made in US&#34; which is nice. Very easy replacement.<br /><br />The coupler on our blender broke apart  that is  the hard  black rubber part broke apart and so only the metal core/insert remained on the blender. I read a few online instructions on replacement and then watched a few youtube videos showing the replacement. Instructions are included with this part and includes a few photos. removal of the old coupler is even easier than the youtube videos show.<br /><br />The coupler core appears to be made of aluminum and is screwed onto a hardened steel shaft. The instructions require you to insert a flat screw driver under the old coupler and just pry it up a few times  rotating your position until it comes off. Because the coupler core is aluminum  it's really just prying the threads up which give way to the harder steel. Once off  you remove any bits of aluminum threads that came off. Then simply screw the new coupler onto the threaded shaft. You can and just need to hand tighten it  counter clockwise. The normal blending motion/direction tightens the coupler further. It literally took me all of 90 seconds to complete the whole replacement.,Usability
205,I wear it a few times only but the fabric cover the jelly pad already broken.,Product Quality
491,We have an older Samsung and the turn table plate finally cracked and broke. This replacement is the perfect fit and though pricey  it is worth it. Now the food goes round and round again when we cook in the microwave.,Price
928,Bulb burned out after about 15 minutes of use over an 8 hour period. ,Product Quality
