Review Number,Review Text,Label
615,fine mount garmin mount doesnt fit garmin even available adapter straw stick air costing aero energy stick velcro frame around straw push there probably less expensive solution bta hydration system easy install convenient lightweight,Product Quality
952,use product something lead paint quickly see swabbed area turn pink red need able test layer paint cutting away knife get lower level helpful lead still see orange color liquid product orange test sheet see expected color change positive result helpful direction using product red surfacebr br tried removing lead paint liquid paint stripper retested bare wood still tested positive better cover seal,Usability
68,son get 41 channel hickory nc well pleased,Product Quality
324,good price,Price
482,asinb00jcg9h0w electrolux ei24id50qs builtin dishwasher iq touch control 24inch stainless steel disappointing say least dishwasher professionally installed ran test cycle little half way cycle beeped gave error message called customer service number spent two hour circle hell known voicemail carousel cutoff call back runaround 34try number instead 34 finally got repairman twice still run complete cycle without shutting error message 3 week since bought nearly 2 week since installed still working dishwasher update backordered part installed immediately sprung another leak finishing load dish part backordered 46 day since ordered never run cycle electrolux refused refund amazon considering making exception 30 day return policy since backordered part kept waiting,Product Quality
165,bought speaker one request want able wake music harry potter intro mp3 soft wake volume gradually going emulated audacity recommend anyone relative light sleep really magicalbr br anywaythe mp3 alarm reliable worked fine 3 day doesnt startbr dont know related way previously stopped musicunclearbr screen also way bright quite small used clock dark room put paper top soften little bitbr br tried button button combination fix alarm problem nothing workedbr unplug turning turning back fixed itfor one day,Product Quality
133,wont disappointed draw back cant change battery,Product Quality
733,nose plug job expected swimming breathe breathe water could get nose could blow air nose chose two nose plug one two goggles used nose plug ever since bought daily swimming rate product five star,Product Quality
732,product good wheel lot less faster last longer,Product Quality
495,everyone else never buy samsung major kitchen appliance spent 5k little 5 yr ago dishwasher died 18m fully replaced bosch working great since refrigerator ice maker died 2yrs replaced 2nd one died 3yrs old last month smh9187 microwave worked okay least 5 yr light use died broken door latch like dozen others hit fixed per youtube video drilling new hole plastic door latch moving spring worked fine middle night 2 day microwave beeped middle night e13 display reset getting either dreaded se error worse literally 5 minute suddenly turn showing something cooking potato seeing hundred similar complaint including microwave caused least couple fire im scared leave plugged home especially since 3 pet going replace nice ge new one last ge microwave lasted 12yrs also 2 samsung lcd tv 1 bluray 1 dvd player die 2yrs never ever going buy anything samsung shame fooling beyond shame utter lack safety concern customer,Product Quality
